Name,Status,Target Audience,Description,Tags,Home page,Source URL,Documentation,Open Source,Open Content,Has Schema?,Schema URL,Team,Number of Users,Cost,Practice,Sub Practice,Practice 2,Sub Practice 2,Type,Type,Subtype,Project Specific,Language,Dependency 1,Dependency 2,Dependency 3,Data Discovery / Searching,Unexplainable dread,Technology,Programming Language,Data Import,Data Export,Allows Bulk Upload,Displays Lists,Network Viz,Network Editing,Network Analysis,Embeddable,Document Viz,Timelines,Maps,Custom Themes
Palladio,,,"Palladio is a web-based platform for the visualization of complex, multi-dimensional data.",,http://palladio.designhumanities.org/#/,,http://hdlab.stanford.edu/projects/palladio/,No,N/A,N/A (proprietary),,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Untangled,,,tbd,,http://knightlab.northwestern.edu/tag/untangled/ http://untangled.knightlab.com/,,,N/A,N/A,N/A,,http://knightlab.northwestern.edu/,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Digital Methods Initiative Tools Database,,,"Lots of small, network-related utilities",,https://wiki.digitalmethods.net/Dmi/ToolDatabase,,,Yes (varies),N/A,N/A,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Google Web Tables,,,,,https://www.youtube.com/watch?v=00ZBpYYQI-M,,,No,N/A,N/A (proprietary),,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
yED,,,"Desktop graph editor, diverse layouts",,http://www.yworks.com/en/products/yfiles/yed/,,,No,N/A,,,,,,,,,,tool (desktop graph editor),,,,,,,,,,,,,,,,,,,,,,,
NodeXL,,,Excel plugin for social network analysis,,http://nodexl.codeplex.com/,http://nodexl.codeplex.com/SourceControl/latest,http://nodexl.codeplex.com/documentation,Yes (MS-Pl),N/A,,,,,,,,,,tool (desktop),,,,,,,,,,"C++, Excel",,,,,,,,,,,,,
Gephi,,,Graph analysis and visualization desktop tool,,https://gephi.org/,https://github.com/gephi/gephi,http://wiki.gephi.org/index.php/Main_Page,Yes (GPL),N/A,,,Gephi Consortium,,,,,,,tool (desktop),,,,,,,,,,"Java, NetBeans",,,,,,,,,,,,,
i2 Analysts Notebook,,,Fancy commercial network analysis application,,http://www-03.ibm.com/software/products/us/en/analysts-notebook/,,http://public.dhe.ibm.com/common/ssi/ecm/en/zzd03127usen/ZZD03127USEN.PDF,No,N/A,,,http://ibm.com,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,,
UCINet,,,Scientific desktop social network analysis tool,,https://sites.google.com/site/ucinetsoftware/,https://sites.google.com/site/ucinetsoftware/downloads,https://sites.google.com/site/ucinetsoftware/document,No,N/A,,,"Lin Freeman, Martin Everett and Steve Borgatti",,,,,,,tool (desktop),,,,,,,,,,Win32,,,,,,,,,,,,,
Maltego,,,Web crawler and entity mapping tool ,,https://www.paterva.com/web6/products/maltego.php,,,No,N/A,,,,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,,
NUIX,,,Used in ICIJ Offshore Leaks,,http://www.nuix.com/,,,No,N/A,,,,,,,,,,tool (desktop),,,,,,,,,,,,,,,,,,,,,,,
GCD,,,Lotus Notes coprorate mapping plugin used by corporate lawyers,,,,https://www.youtube.com/watch?v=e_-prYgl0GM,No,N/A,,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
django-rolodex,,,Manage people and links in your CMS,,https://pypi.python.org/pypi/django-rolodex/0.1.0,https://github.com/DallasMorningNews/django-rolodex/,,Yes,N/A,,,Dallas Morning News,,,,,,,tool,,,,,,,,,,Python/Django,,,,,,,,,,,,,
Structur,,,,,https://structr.org/,https://github.com/structr/structr,https://docs.structr.org/,Yes,,,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Excel to D3.js,,,How to create d3.js force diagrams from excel tables,,http://ramblings.mcpher.com/Home/excelquirks/d3/anyforce,,,,,,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Tags,,,Extract tweets to spreadsheet and visualize it,,https://tags.hawksey.info/get-tags/,,,,,,,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Linkuriousjs,,,Javascript visualization toolkit for graph visualization and interaction. Provides a collection of HTML5 features based on Sigma.js,,https://github.com/Linkurious/linkurious.js,https://github.com/Linkurious/linkurious.js,,Yes,,,,,,,,,,,library,,,,,,,,,,,,,,,,,,,,,,,
Timesheet.js,,,,,https://sbstjn.github.io/timesheet.js/,,,,,,,,,,,,,,Library,,,,,,,,,,,,,,,,,,,,,,,
Hyphe ,,,,,http://hyphe.medialab.sciences-po.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manylines,,,,,"medialab.github.io/manylines 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newclips,,,,,http://pudo.org/blog/2014/12/03/newsclipse.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archieml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keylines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
