,,,,,,,,,,,,,,,,,,Easy to Install,Easy to Use,What you need to know,,,,Free to use and reuse,,,,,,,,
Digital Methods Initiative Tools Database,,,,,,,,,,,,,,,,"Lots of small, network-related utilities",https://wiki.digitalmethods.net/Dmi/ToolDatabase,,,,,tool,,Yes (varies),,N/A,N/A,,,,,
Google Web Tables,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=00ZBpYYQI-M,,,,,tool,,No,,N/A,N/A (proprietary),,,,,
yED,,,,,,,,,,,,,,,,"Desktop graph editor, diverse layouts",http://www.yworks.com/en/products/yfiles/yed/,,,,,tool (desktop graph editor),,No,,N/A,,,,,,
NodeXL,,,,,,,,,,,,,,,,Excel plugin for social network analysis,http://nodexl.codeplex.com/,,,,,tool (desktop),http://nodexl.codeplex.com/documentation,Yes (MS-Pl),http://nodexl.codeplex.com/SourceControl/latest,N/A,,,,"C++, Excel",,
Gephi,,,,,,,,,,,,,,,,Graph analysis and visualization desktop tool,https://gephi.org/,,,,,tool (desktop),http://wiki.gephi.org/index.php/Main_Page,Yes (GPL),https://github.com/gephi/gephi,N/A,,,Gephi Consortium,"Java, NetBeans",,
i2 Analysts Notebook,,,,,,,,,,,,,,,,Fancy commercial network analysis application,http://www-03.ibm.com/software/products/us/en/analysts-notebook/,,,,,tool (desktop),http://public.dhe.ibm.com/common/ssi/ecm/en/zzd03127usen/ZZD03127USEN.PDF,No,,N/A,,,http://ibm.com,,,
UCINet,,,,,,,,,,,,,,,,Scientific desktop social network analysis tool,https://sites.google.com/site/ucinetsoftware/,,,,,tool (desktop),https://sites.google.com/site/ucinetsoftware/document,No,https://sites.google.com/site/ucinetsoftware/downloads,N/A,,,"Lin Freeman, Martin Everett and Steve Borgatti",Win32,,
Maltego,,,,,,,,,,,,,,,,Web crawler and entity mapping tool ,https://www.paterva.com/web6/products/maltego.php,,,,,tool (desktop),,No,,N/A,,,,,,
NUIX,,,,,,,,,,,,,,,,Used in ICIJ Offshore Leaks,http://www.nuix.com/,,,,,tool (desktop),,No,,N/A,,,,,,
GCD,,,,,,,,,,,,,,,,Lotus Notes coprorate mapping plugin used by corporate lawyers,,,,,,tool,https://www.youtube.com/watch?v=e_-prYgl0GM,No,,N/A,,,,,,
django-rolodex,,,,,,,,,,,,,,,,Manage people and links in your CMS,https://pypi.python.org/pypi/django-rolodex/0.1.0,,,,,tool,,Yes,https://github.com/DallasMorningNews/django-rolodex/,N/A,,,Dallas Morning News,Python/Django,,
Structur,,,,,,,,,,,,,,,,,https://structr.org/,,,,,tool,https://docs.structr.org/,Yes,https://github.com/structr/structr,,,,,,,
Excel to D3.js,,,,,,,,,,,,,,,,How to create d3.js force diagrams from excel tables,http://ramblings.mcpher.com/Home/excelquirks/d3/anyforce,,,,,tool,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,Extract tweets to spreadsheet and visualize it,https://tags.hawksey.info/get-tags/,,,,,tool,,,,,,,,,,
Linkuriousjs,,,,,,,,,,,,,,,,Javascript visualization toolkit for graph visualization and interaction. Provides a collection of HTML5 features based on Sigma.js,https://github.com/Linkurious/linkurious.js,,,,,library,,Yes,https://github.com/Linkurious/linkurious.js,,,,,,,
Timesheet.js,,,,,,,,,,,,,,,,,https://sbstjn.github.io/timesheet.js/,,,,,Library,,,,,,,,,,
Hyphe ,,,,,,,,,,,,,,,,,http://hyphe.medialab.sciences-po.fr/,,,,,,,,,,,,,,,
"
Sigma.js",,,,,,,,,,,,,,,,,http://sigmajs.org,,,,,Library,,,,,,,,,,
Manylines,,,,,,,,,,,,,,,,,"medialab.github.io/manylines 
",,,,,,,,,,,,,,,
Newclips,,,,,,,,,,,,,,,,,http://pudo.org/blog/2014/12/03/newsclipse.html,,,,,,,,,,,,,,,
Archieml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keylines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpenDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrangler,,,,,,,,,,,,,,,,,http://vis.stanford.edu/wrangler,,,,,,,,,,,,,,,
Table 2 Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Refine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Data Converter ,,,,,,,,,,,,,,,,"convert Excel data into one of several web-friendly formats, including HTML, JSON and XML",,,,,,,,,,,,,,,,
Mr. People ,,,,,,,,,,,,,,,,Parse and extract names.,,,,,,,,,,,,,,,,
Orgnet,,,,,,,,,,,,,,,,,http://www.orgnet.com/cases.html,,,,,,,,,,,,,,,
RAW,,,,,,,,,,,,,,,,Visualization tool for non visualization people,"http://raw.densitydesign.org
",,,,,,,,,,,,,,,
Overview,"Folder full of pdfs what do you do with it? (When you don't have time to read them all, made for fast workflow and very large datasets) Extensible import and analysis.",,,,,,,,,,,,,,,Visualize and query bulk of pdf documents,,,,,,,,,,,,,,"PDF.js, Plugin in Node.js",,
PANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabula,,,,,,,,,,,,,,,,Liberate data from tables from PDF,http://tabula.technology/,,,,,,,,,,,,,,,
Open Semantic Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libraries based on D3,,,,,,,,,,,,,,,,,https://github.com/wbkd/awesome-d3,,,,,,,,,,,,,,,
Morph.io,,,,,,,,,,,,,,,,,https://morph.io/,,,,,,,,,,,,,,,
Tableau software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogre,,,,clojure,,,,,,,,,,,,,http://ogre.clojurewerkz.org,,,,,,,,,,,,,,,
Tamedia,internal query with translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abby (OCR), Systran (Translation), Temis (Entity extraction), Cogito Intelligence Platform (Web based Entity Search), Crawling (IDM Police crawler)",20,1.5MEUR
ICIJ Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache Tika (document extraction), Apache Solr (data management), JBIG2-ImageIO, Redis (database), Neo4J (database), Linkurious, Oxwall (social networking platform for discussion of documents), Blacklight, TesseractOCR",,
Document Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prettylist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US color-coded map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choose Your Own Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeline.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
